Time,LightDNA,LightProtein
1717013072.7709696,0.0,0.0
1717013073.7707942,0.0,0.0
1717013074.7706203,0.0,0.0
1717013075.7706845,0.0,0.0
1717013076.771103,0.0,0.0
1717013077.7706032,0.0,0.0
1717013078.7710295,0.0,0.0
1717013079.770472,0.0,0.0
1717013080.7707858,0.0,0.0
1717013081.7707725,0.0,0.0
1717013082.7696095,0.0,0.0
1717013083.771521,0.0,0.0
