Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
turntable,-2.82541936962439E-17,6.93889390390723E-18,-4.24870678161208E-34,0,0,0,0.396806230030924,0.000571454150237484,-2.23834839552239E-21,1.37054783361242E-37,0.000571454150237484,3.23777898172651E-20,0.00110024104924718,0,0,0,0,0,0,package://wroboarm_21/meshes/turntable.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wroboarm_21/meshes/turntable.STL,,TurnTable-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
gearbox,-5.70181409604587E-18,0.0380153243966357,-0.00138922050969218,0,0,0,0.341209853046385,0.000637264883384741,6.24923664103596E-20,-2.71681384497167E-19,0.000834504397618049,1.62941368108056E-05,0.000889318878925749,0,0,0,0,0,0,package://wroboarm_21/meshes/gearbox.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wroboarm_21/meshes/gearbox.STL,,Shoulder-1,Origin_link1_joint2,Axis_link1_joint2,link1_joint,continuous,0,0,0.0127,1.5708,0,0,turntable,0,1,0,,,,,,,,,,,,
upperarm,1.49614561175028E-17,0.157206632847804,2.77555756156289E-17,0,0,0,1.26412421587631,0.0136779903910557,3.22448390771324E-19,3.96119838307109E-20,0.000964387075304149,-2.67429553724681E-18,0.0140917496737089,0,0,0,0,0,0,package://wroboarm_21/meshes/upperarm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wroboarm_21/meshes/upperarm.STL,,UpperArm-1,Origin_link2_joint2,Axis_link2_joint2,link2_joint,continuous,0,0.07239,0.03683,0,0,0,gearbox,1,0,0,,,,,,,,,,,,
elbow,7.33210423758527E-18,0.0462797200039115,-0.00991708285798099,0,0,0,0.625328404239412,0.00150936287881219,7.22519589370286E-20,2.65311197270661E-20,0.000771504125821615,-1.13468871077225E-05,0.00102329905512323,0,0,0,0,0,0,package://wroboarm_21/meshes/elbow.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wroboarm_21/meshes/elbow.STL,,Elbow-1,Origin_link3_joint,Axis_link3_joint,link3_joint,continuous,0,0.381,0,-1.5708,0,0,upperarm,1,0,0,,,,,,,,,,,,
forearm,-1.32860243738577E-17,-1.90819582357449E-17,-0.113066392198771,0,0,0,0.460632401231927,0.00223620566444836,2.86239968572403E-21,-5.06454254732662E-20,0.00224684031586386,-3.05817065058502E-19,0.000245602268076572,0,0,0,0,0,0,package://wroboarm_21/meshes/forearm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wroboarm_21/meshes/forearm.STL,,Forearm-1,Origin_link4_joint,Axis_link4_joint,link4_joint,continuous,0,0.04445,0.04445,3.1416,0,0,elbow,0,0,1,,,,,,,,,,,,
wrist,-7.1276563552947E-09,7.80625564189563E-18,-3.41498918032812E-09,0,0,0,0.0642008901362293,3.49809093099438E-05,5.28878027298075E-11,1.56594471999825E-18,2.42909279281571E-05,-4.37083043679572E-11,2.86709715099874E-05,0,0,0,0,0,0,package://wroboarm_21/meshes/wrist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wroboarm_21/meshes/wrist.STL,,Wrist-1,Origin_link5_joint,Axis_link5_joint,link5_joint,continuous,0,0,-0.254,3.1416,0,0,forearm,1,0,0,,,,,,,,,,,,
manipulator,5.8113236445223E-17,1.74020910368395E-17,-0.05715,0,0,0,0.237050487139156,0.000319176967769642,-3.08271195529153E-21,3.16873566981017E-20,0.000319176967769642,7.05373762522642E-20,0.000122196649085178,0,0,0,0,0,0,package://wroboarm_21/meshes/manipulator.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wroboarm_21/meshes/manipulator.STL,,Manipulator-1,Origin_link6_joint,Axis_link6_joint,link6_joint,continuous,0,0,0.0254,3.1416,0,1.5708,wrist,0,0,1,,,,,,,,,,,,
